rssi_percs_25,rxWeightedPhyRate,txWeightedPhyRate,rssi_percs_25
-85.0,20.724569928956814,41.77219806564746,-85.0
-84.0,22.53149645111774,45.42214267585691,-84.0
-83.0,30.2344676414453,62.02937619851222,-83.0
-82.0,37.133368084444456,77.73620243281478,-82.0
-81.0,46.2979159774878,100.94509545318118,-81.0
-80.0,50.93270625216616,97.80991349848131,-80.0
-79.0,55.78096416364845,100.48652677776302,-79.0
-78.0,62.026563151121536,102.94196545847679,-78.0
-77.0,70.1522019380865,107.79851734852377,-77.0
-76.0,77.32159954076867,118.1162575079863,-76.0
-75.0,83.47815546137848,123.81094889576423,-75.0
-74.0,90.87447863997194,128.36853638584756,-74.0
-73.0,95.64652494963256,133.7646855778053,-73.0
-72.0,98.84270617688085,137.09511342475847,-72.0
-71.0,107.0257194790994,143.4831312604716,-71.0
-70.0,111.85867572936543,148.32486807995534,-70.0
-69.0,121.7982748482155,153.15652505479503,-69.0
-68.0,133.7447372806178,160.75892984853672,-68.0
-67.0,150.52401445873522,175.714803043909,-67.0
-66.0,177.58907319556837,202.21778027962247,-66.0
-65.0,199.28383456770447,221.4494540997115,-65.0
